id,title,description,availability,condition,price,link,image_link,brand
317073-bermuda-mel,317073	-   BERMUDA MEL,Sobre essa peça: Composição: 100% algodão Descrição: Bermuda em linho com elástico na cintura e botão de madeira.,in stock,new,249.00 BRL,https://mariasetal.com/317073-bermuda-mel,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/613b5713-d58b-4899-b763-36679883d596.png,Marias & Tal
317073-bermuda-mel-1,317066 -  BERMUDA ONDINA,Sobre essa peça: Composição: linho. Descrição: Bermuda linho elástico na cintura com bolsos traseiros chapados e botão madeira no cós.,in stock,new,246.00 BRL,https://mariasetal.com/317073-bermuda-mel-1,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/1b47ba32-503f-48c7-938e-657d66d5e3e8.png,Marias & Tal
317074-calca-amora-,317074 - CALÇA AMORA,Sobre essa peça: Composição: linho. Descrição: Calça linho alfaiataria com bolsos traseiros embutidos.,in stock,new,366.00 BRL,https://mariasetal.com/317074-calca-amora-,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/9524690c-932a-43ac-bd15-1d7ca5c5eed3.png,Marias & Tal
317075-vestido-lorena,317075 - VESTIDO LORENA,100% ALGODÃO,in stock,new,462.00 BRL,https://mariasetal.com/317075-vestido-lorena,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/a21bb989-2e21-4eec-80fb-7697f3501be3.png,Marias & Tal
317080-camisa-nalu-,317080 - CAMISA NALU ,Sobre essa peça: Composição: 100% ALGODÃO,in stock,new,447.00 BRL,https://mariasetal.com/317080-camisa-nalu-,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/e8b304f5-76f5-4dc5-8d5f-268980d1ff2f.png,Marias & Tal
317085-camisa-agatha,317085 - CAMISA AGATHA,Camisa 100% algodão com aplicações de abacaxis.,in stock,new,393.00 BRL,https://mariasetal.com/317085-camisa-agatha,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/e7cab335-f1a4-449a-bd24-0ebedc26a275.jpg,Marias & Tal
317124-bermuda-lina-maria,317105 - BERMUDA MARIA LUCIA,Bermuda em fio tinto xadrez,in stock,new,255.00 BRL,https://mariasetal.com/317124-bermuda-lina-maria,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/46c296b5-dd7e-4720-89b9-af9ada3c9d55.jpg,Marias & Tal
317129-blusa-isabel-maria,317129 - BLUSA ISABEL MARIA,Blusa de alça com amarração,in stock,new,93.00 BRL,https://mariasetal.com/317129-blusa-isabel-maria,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/ccaefabe-75f4-4225-a670-495b00e5a12c.jpg,Marias & Tal
317132-blusa-maria-olivia,317132 - BLUSA MARIA OLIVIA,Regata com detalhes na lateral,in stock,new,141.00 BRL,https://mariasetal.com/317132-blusa-maria-olivia,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/48815e4b-93ff-4cc8-ab60-9ba4755814c8.jpg,Marias & Tal
317150-chemise-maria-ilda,317150  -  CHEMISE MARIA ILDA,Sobre essa peça: Composição: 100% Algodão Descrição: Chemise em tecido de algodão gola padre com detalhe em rendas artesanais e cinto em croche.,in stock,new,494.00 BRL,https://mariasetal.com/317150-chemise-maria-ilda,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/3f57ca54-30ca-4da9-a7f2-9d4eee02b4e5.png,Marias & Tal
317168-vestido-rosa-maria,317168 - VESTIDO ROSA MARIA,"Sobre essa peça: Composição: 100% algodão. Descrição: Vestido curto com alcinhas em tecido, algodão com margaridas bordadas.",in stock,new,254.60 BRL,https://mariasetal.com/317168-vestido-rosa-maria,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/d5c62def-6733-40a0-9c62-482252bf2525.jpg,Marias & Tal
317187-top-maria-rafaela,317187 - TOP MARIA RAFAELA,Sobre essa peça: Composição: 100% algodão Descrição: TOP EM ALGODÃO ACETINADO TODO BORDADO EM LINHA DE ALGODÃO,in stock,new,93.00 BRL,https://mariasetal.com/317187-top-maria-rafaela,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/6352d73e-32e0-4fa5-94d5-d66d40b44951.png,Marias & Tal
